Elev_m,area_m2
655,40000.0
665,270000.0
675,170000.0
685,130000.0
695,130000.0
705,80000.0
715,130000.0
725,140000.0
735,180000.0
745,140000.0
755,230000.0
765,330000.0
775,450000.0
785,440000.0
795,560000.0
805,370000.0
815,350000.0
825,410000.0
835,430000.0
845,480000.0
855,310000.0
865,360000.0
875,280000.0
885,350000.0
895,680000.0
905,390000.0
915,460000.0
925,500000.0
935,560000.0
945,890000.0
955,1200000.0
965,1100000.0
975,1070000.0
985,1210000.0
995,870000.0
1005,680000.0
1015,500000.0
1025,550000.0
1035,530000.0
1045,580000.0
1055,680000.0
1065,710000.0
1075,820000.0
1085,690000.0
1095,730000.0
1105,930000.0
1115,790000.0
1125,710000.0
1135,560000.0
1145,500000.0
1155,590000.0
1165,420000.0
1175,580000.0
1185,1070000.0
1195,940000.0
1205,1190000.0
1215,730000.0
1225,710000.0
1235,800000.0
1245,590000.0
1255,570000.0
1265,620000.0
1275,940000.0
1285,950000.0
1295,1150000.0
1305,800000.0
1315,630000.0
1325,650000.0
1335,710000.0
1345,550000.0
1355,640000.0
1365,720000.0
1375,1120000.0
1385,940000.0
1395,900000.0
1405,750000.0
1415,720000.0
1425,720000.0
1435,570000.0
1445,700000.0
1455,870000.0
1465,470000.0
1475,590000.0
1485,590000.0
1495,730000.0
1505,870000.0
1515,980000.0
1525,790000.0
1535,840000.0
1545,800000.0
1555,930000.0
1565,890000.0
1575,930000.0
1585,1020000.0
1595,1150000.0
1605,1300000.0
1615,1350000.0
1625,1360000.0
1635,1490000.0
1645,1510000.0
1655,1230000.0
1665,1080000.0
1675,1270000.0
1685,1080000.0
1695,960000.0
1705,1030000.0
1715,1080000.0
1725,1130000.0
1735,1350000.0
1745,1230000.0
1755,1490000.0
1765,1640000.0
1775,1970000.0
1785,1550000.0
1795,1560000.0
1805,1330000.0
1815,1500000.0
1825,1450000.0
1835,1240000.0
1845,1210000.0
1855,1340000.0
1865,1320000.0
1875,1480000.0
1885,1480000.0
1895,1680000.0
1905,1440000.0
1915,1680000.0
1925,1740000.0
1935,1540000.0
1945,1530000.0
1955,1530000.0
1965,1810000.0
1975,1560000.0
1985,1560000.0
1995,1720000.0
2005,1900000.0
2015,1970000.0
2025,1940000.0
2035,2360000.0
2045,2600000.0
2055,2150000.0
2065,2620000.0
2075,2220000.0
2085,2020000.0
2095,2170000.0
2105,2460000.0
2115,1980000.0
2125,1980000.0
2135,2100000.0
2145,2050000.0
2155,2260000.0
2165,2490000.0
2175,2520000.0
2185,2570000.0
2195,2570000.0
2205,2810000.0
2215,2780000.0
2225,3320000.0
2235,3080000.0
2245,3320000.0
2255,3830000.0
2265,3540000.0
2275,3460000.0
2285,3220000.0
2295,3020000.0
2305,2640000.0
2315,3040000.0
2325,2810000.0
2335,2810000.0
2345,2890000.0
2355,3390000.0
2365,4020000.0
2375,3030000.0
2385,2830000.0
2395,2770000.0
2405,3510000.0
2415,3550000.0
2425,3010000.0
2435,2970000.0
2445,2930000.0
2455,2780000.0
2465,2460000.0
2475,2190000.0
2485,2400000.0
2495,2380000.0
2505,2390000.0
2515,2320000.0
2525,2280000.0
2535,2410000.0
2545,2800000.0
2555,2050000.0
2565,1750000.0
2575,1490000.0
2585,1580000.0
2595,1370000.0
2605,1530000.0
2615,1210000.0
2625,1210000.0
2635,1260000.0
2645,1330000.0
2655,1000000.0
2665,1280000.0
2675,1170000.0
2685,1190000.0
2695,970000.0
2705,1130000.0
2715,770000.0
2725,900000.0
2735,1010000.0
2745,790000.0
2755,780000.0
2765,570000.0
2775,760000.0
2785,750000.0
2795,610000.0
2805,560000.0
2815,720000.0
2825,700000.0
2835,490000.0
2845,620000.0
2855,450000.0
2865,580000.0
2875,520000.0
2885,490000.0
2895,440000.0
2905,370000.0
2915,370000.0
2925,280000.0
2935,470000.0
2945,380000.0
2955,240000.0
2965,300000.0
2975,340000.0
2985,110000.0
2995,170000.0
3005,70000.0
3015,140000.0
3025,70000.0
3035,90000.0
3045,50000.0
3055,60000.0
3065,70000.0
3075,50000.0
3085,60000.0
3095,20000.0
3105,40000.0
3115,10000.0
3125,10000.0
3135,10000.0
3145,40000.0
3155,80000.0
3165,20000.0
3175,10000.0
3185,10000.0
3195,0.0
3205,0.0
3215,20000.0
3225,0.0
3235,20000.0
3245,10000.0
3255,10000.0
3265,0.0
3275,10000.0
