,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,68630000,65980000,71290000,2655000.0
2017-06-16,80060000,77250000,82880000,2815000.0
2017-06-28,83300000,81190000,85420000,2115000.0
2017-07-10,87110000,84980000,89230000,2125000.0
2017-07-22,89910000,87640000,92180000,2270000.0
2017-08-03,89090000,87060000,91130000,2035000.0
2017-08-15,87510000,85170000,89850000,2340000.0
2017-08-27,83870000,81630000,86120000,2245000.0
2017-09-08,80880000,78600000,83160000,2280000.0
2017-09-20,78710000,75600000,81850000,3125000.0
2017-10-02,76380000,72000000,80750000,4375000.0
2017-10-14,71380000,64820000,77910000,6545000.0
2017-10-26,29170000,2730000,55670000,26470000.0
2017-11-07,16130000,230000,32070000,15920000.0
2017-11-19,9490000,140000,18930000,9395000.0
2017-12-01,6070000,40000,12110000,6035000.0
2017-12-13,2500000,90000,4970000,2440000.0
2017-12-25,630000,40000,1270000,615000.0
2018-01-06,240000,130000,480000,175000.0
2018-01-18,70000,10000,150000,70000.0
2018-01-30,30000,30000,70000,20000.0
2018-02-11,100000,40000,210000,85000.0
2018-02-23,80000,20000,170000,75000.0
2018-03-07,40000,40000,90000,25000.0
2018-03-19,70000,10000,150000,70000.0
2018-03-31,50000,0,110000,55000.0
2018-04-12,170000,80000,300000,110000.0
2018-04-24,2480000,1330000,3630000,1150000.0
2018-05-06,22220000,21250000,23170000,960000.0
2018-05-18,44060000,42210000,45920000,1855000.0
2018-05-30,50070000,47930000,52210000,2140000.0
2018-06-11,75250000,72170000,78310000,3070000.0
2018-06-23,77110000,75310000,78900000,1795000.0
2018-07-05,85390000,82890000,87910000,2510000.0
2018-07-17,81800000,79690000,83910000,2110000.0
2018-07-29,91650000,90060000,93250000,1595000.0
2018-08-10,89160000,87410000,90910000,1750000.0
2018-08-22,90420000,88470000,92340000,1935000.0
2018-09-03,84220000,82340000,86110000,1885000.0
2018-09-15,82460000,80230000,84710000,2240000.0
2018-09-27,79710000,77110000,82290000,2590000.0
2018-10-09,74340000,68540000,80140000,5800000.0
2018-10-21,68100000,58890000,77330000,9220000.0
2018-11-02,56700000,42480000,70930000,14225000.0
2018-11-14,17400000,790000,34040000,16625000.0
2018-11-26,7860000,70000,15660000,7795000.0
2018-12-08,3640000,70000,7260000,3595000.0
2018-12-20,1680000,0,3370000,1685000.0
2019-01-01,520000,40000,1050000,505000.0
2019-01-13,160000,40000,330000,145000.0
2019-01-25,130000,10000,270000,130000.0
2019-02-06,10000,10000,30000,10000.0
2019-02-18,0,0,0,0.0
2019-03-02,110000,50000,230000,90000.0
2019-03-14,160000,40000,330000,145000.0
2019-03-26,370000,40000,730000,345000.0
2019-04-07,140000,20000,290000,135000.0
2019-04-19,3150000,1340000,4980000,1820000.0
2019-05-01,12030000,3020000,21020000,9000000.0
2019-05-13,41850000,40330000,43380000,1525000.0
2019-05-25,68900000,65240000,72590000,3675000.0
2019-06-06,71900000,68590000,75210000,3310000.0
2019-06-18,77660000,74890000,80430000,2770000.0
2019-06-30,94930000,93700000,96150000,1225000.0
2019-07-12,94060000,92320000,95790000,1735000.0
2019-07-24,94420000,93120000,95740000,1310000.0
2019-08-05,94530000,93250000,95810000,1280000.0
2019-08-17,92750000,91150000,94340000,1595000.0
2019-08-29,86470000,83510000,89410000,2950000.0
2019-09-10,82720000,79130000,86310000,3590000.0
2019-09-22,77530000,72090000,82950000,5430000.0
2019-10-04,70620000,62910000,78310000,7700000.0
2019-10-16,54670000,48540000,60810000,6135000.0
2019-10-28,52630000,49360000,55920000,3280000.0
2019-11-09,41200000,37650000,44760000,3555000.0
2019-11-21,27250000,21660000,32860000,5600000.0
2019-12-03,4700000,560000,8880000,4160000.0
2019-12-15,1970000,140000,3820000,1840000.0
2019-12-27,1050000,70000,2080000,1005000.0
2020-01-08,580000,20000,1170000,575000.0
2020-01-20,180000,60000,360000,150000.0
2020-02-01,140000,20000,290000,135000.0
2020-02-13,100000,40000,210000,85000.0
2020-02-25,20000,20000,50000,15000.0
2020-03-08,50000,0,110000,55000.0
2020-03-20,90000,30000,190000,80000.0
2020-04-01,20000,20000,50000,15000.0
2020-04-13,3590000,2600000,4600000,1000000.0
2020-04-25,37940000,37150000,38740000,795000.0
2020-05-07,39430000,37220000,41650000,2215000.0
2020-05-19,58030000,55060000,60990000,2965000.0
2020-05-31,63310000,60750000,65880000,2565000.0
2020-06-12,68040000,64670000,71420000,3375000.0
2020-06-24,78030000,76320000,79780000,1730000.0
2020-07-06,81600000,78930000,84270000,2670000.0
2020-07-18,82060000,79900000,84230000,2165000.0
2020-07-30,86060000,84580000,87540000,1480000.0
2020-08-11,80150000,78340000,81970000,1815000.0
2020-08-23,79190000,77140000,81220000,2040000.0
2020-09-04,77610000,75710000,79510000,1900000.0
2020-09-16,75230000,72570000,77850000,2640000.0
2020-09-28,72550000,69270000,75830000,3280000.0
2020-10-10,71180000,67930000,74420000,3245000.0
2020-10-22,64830000,58900000,70770000,5935000.0
2020-11-03,67900000,65190000,70590000,2700000.0
2020-11-15,20220000,1000000,39500000,19250000.0
2020-11-27,12990000,430000,25580000,12575000.0
2020-12-09,6260000,210000,12350000,6070000.0
2020-12-21,2940000,120000,5770000,2825000.0
2021-01-02,810000,160000,1540000,690000.0
2021-01-14,210000,100000,410000,155000.0
2021-01-26,120000,0,240000,120000.0
2021-02-07,110000,50000,230000,90000.0
2021-02-19,150000,30000,300000,135000.0
2021-03-03,170000,50000,340000,145000.0
2021-03-15,160000,50000,310000,130000.0
2021-03-27,150000,30000,300000,135000.0
2021-04-08,90000,30000,190000,80000.0
2021-04-20,14780000,9060000,20520000,5730000.0
2021-05-02,37450000,36040000,38870000,1415000.0
2021-05-14,42000000,39450000,44560000,2555000.0
2021-05-26,47590000,45280000,49930000,2325000.0
2021-06-07,56310000,54190000,58450000,2130000.0
2021-06-19,80720000,79240000,82210000,1485000.0
2021-07-01,83360000,81330000,85410000,2040000.0
2021-07-13,80970000,79440000,82520000,1540000.0
2021-07-25,89120000,87570000,90690000,1560000.0
2021-08-06,90430000,88620000,92240000,1810000.0
2021-08-18,86080000,84000000,88150000,2075000.0
2021-08-30,83860000,82190000,85540000,1675000.0
2021-09-11,81770000,80000000,83550000,1775000.0
2021-09-23,79820000,77390000,82260000,2435000.0
2021-10-05,74970000,69450000,80500000,5525000.0
2021-10-17,66620000,55770000,77490000,10860000.0
2021-10-29,73230000,69170000,77280000,4055000.0
2021-11-10,25220000,3710000,46790000,21540000.0
2021-11-22,17220000,530000,33970000,16720000.0
2021-12-16,7890000,180000,15640000,7730000.0
2021-12-28,4080000,120000,8050000,3965000.0
2022-01-09,1280000,100000,2510000,1205000.0
2022-01-21,230000,110000,470000,180000.0
2022-02-02,70000,10000,150000,70000.0
2022-02-14,60000,0,130000,65000.0
2022-02-26,120000,0,250000,125000.0
2022-03-10,90000,30000,190000,80000.0
2022-03-22,150000,40000,300000,130000.0
2022-04-03,150000,30000,310000,140000.0
2022-04-15,70000,10000,150000,70000.0
2022-04-27,3390000,1080000,5690000,2305000.0
2022-05-09,29490000,24630000,34360000,4865000.0
2022-05-21,42040000,39230000,44850000,2810000.0
2022-06-02,70710000,65700000,75750000,5025000.0
2022-06-14,79010000,76290000,81730000,2720000.0
2022-06-26,86890000,84780000,89020000,2120000.0
2022-07-08,91830000,90060000,93580000,1760000.0
2022-07-20,89990000,88330000,91640000,1655000.0
2022-08-01,88380000,86670000,90100000,1715000.0
2022-08-13,87910000,86180000,89650000,1735000.0
2022-08-25,83970000,82140000,85810000,1835000.0
