,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1870.0,1795.0,2128.0,166.5
2017-06-16,2011.0,1960.0,2295.0,167.5
2017-06-28,2108.0,2044.0,2202.0,79.0
2017-07-10,2079.0,2027.0,2146.0,59.5
2017-07-22,2152.0,2109.0,2235.0,63.0
2017-08-03,2141.0,2054.0,2263.0,104.5
2017-08-15,2187.0,2141.0,2329.0,94.0
2017-08-27,2432.0,2356.0,2575.0,109.5
2017-09-08,1581.0,1554.0,1606.0,26.0
2017-09-20,1431.0,1431.0,1431.0,0.0
2017-10-02,1366.0,1366.0,1366.0,0.0
2017-10-14,1346.0,1346.0,1346.0,0.0
2017-10-26,1346.0,1346.0,1346.0,0.0
2017-11-07,1345.0,1345.0,1345.0,0.0
2017-11-19,1345.0,1345.0,1345.0,0.0
2017-12-01,1345.0,1345.0,1345.0,0.0
2017-12-13,1345.0,1345.0,1345.0,0.0
2017-12-25,1345.0,1345.0,1345.0,0.0
2018-01-06,1345.0,1345.0,1345.0,0.0
2018-01-18,1345.0,1345.0,1345.0,0.0
2018-01-30,1345.0,1345.0,1345.0,0.0
2018-02-11,1345.0,1345.0,1345.0,0.0
2018-02-23,1345.0,1345.0,1345.0,0.0
2018-03-07,1345.0,1345.0,1345.0,0.0
2018-03-19,1345.0,1345.0,1345.0,0.0
2018-03-31,1345.0,1345.0,1345.0,0.0
2018-04-12,1345.0,1345.0,1345.0,0.0
2018-04-24,1345.0,1345.0,1345.0,0.0
2018-05-06,1345.0,1345.0,1345.0,0.0
2018-05-18,1385.0,1381.0,1391.0,5.0
2018-05-30,1527.0,1481.0,1569.0,44.0
2018-06-11,1770.0,1666.0,2070.0,202.0
2018-06-23,1927.0,1823.0,2207.0,192.0
2018-07-05,1961.0,1921.0,2054.0,66.5
2018-07-17,2042.0,2001.0,2233.0,116.0
2018-07-29,2126.0,2059.0,2181.0,61.0
2018-08-10,2133.0,2077.0,2234.0,78.5
2018-08-22,2177.0,2148.0,2327.0,89.5
2018-09-03,2399.0,2311.0,2533.0,111.0
2018-09-15,1701.0,1673.0,1728.0,27.5
2018-09-27,1443.0,1443.0,1443.0,0.0
2018-10-09,1354.0,1354.0,1354.0,0.0
2018-10-21,1356.0,1356.0,1356.0,0.0
2018-11-02,1348.0,1348.0,1348.0,0.0
2018-11-14,1348.0,1348.0,1348.0,0.0
2018-11-26,1345.0,1345.0,1345.0,0.0
2018-12-08,1345.0,1345.0,1345.0,0.0
2018-12-20,1345.0,1345.0,1345.0,0.0
2019-01-01,1345.0,1345.0,1345.0,0.0
2019-01-13,1345.0,1345.0,1345.0,0.0
2019-01-25,1345.0,1345.0,1345.0,0.0
2019-02-06,1345.0,1345.0,1345.0,0.0
2019-02-18,1345.0,1345.0,1345.0,0.0
2019-03-02,1345.0,1345.0,1345.0,0.0
2019-03-14,1345.0,1345.0,1345.0,0.0
2019-03-26,1345.0,1345.0,1345.0,0.0
2019-04-07,1345.0,1345.0,1345.0,0.0
