,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2509.0,2433.0,2611.0,89.0
2017-06-16,2960.0,2812.0,3143.0,165.5
2017-06-28,3289.0,3073.0,3563.0,245.0
2017-07-10,3502.0,3238.0,3686.0,224.0
2017-07-22,3726.0,3637.0,3823.0,93.0
2017-08-03,3616.0,3370.0,3714.0,172.0
2017-08-15,3452.0,3189.0,3673.0,242.0
2017-08-27,2985.0,2821.0,3167.0,173.0
2017-09-08,1679.0,1252.0,1916.0,332.0
2017-09-20,1496.0,1254.0,1658.0,202.0
2017-10-02,1508.0,1254.0,1677.0,211.5
2017-10-14,1342.0,1254.0,1396.0,71.0
2017-10-26,1287.0,1254.0,1337.0,41.5
2017-11-07,1267.0,1252.0,1287.0,17.5
2017-11-19,1262.0,1254.0,1273.0,9.5
2017-12-01,1263.0,1251.0,1273.0,11.0
2017-12-13,1260.0,1252.0,1267.0,7.5
2017-12-25,1259.0,1251.0,1263.0,6.0
2018-01-06,1254.0,1251.0,1258.0,3.5
2018-01-18,1251.0,1251.0,1251.0,0.0
2018-01-30,1251.0,1251.0,1252.0,0.5
2018-02-11,1251.0,1251.0,1251.0,0.0
2018-02-23,1252.0,1251.0,1255.0,2.0
2018-03-07,1252.0,1251.0,1255.0,2.0
2018-03-19,1251.0,1251.0,1252.0,0.5
2018-03-31,1251.0,1251.0,1251.0,0.0
2018-04-12,1251.0,1251.0,1252.0,0.5
2018-04-24,1252.0,1251.0,1255.0,2.0
2018-05-06,1273.0,1260.0,1300.0,20.0
2018-05-18,1455.0,1252.0,1563.0,155.5
2018-05-30,2154.0,2089.0,2224.0,67.5
2018-06-11,2649.0,2504.0,2793.0,144.5
2018-06-23,2963.0,2794.0,3175.0,190.5
2018-07-05,3282.0,3010.0,3610.0,300.0
2018-07-17,2952.0,2781.0,3156.0,187.5
2018-07-29,3676.0,3505.0,3749.0,122.0
2018-08-10,3551.0,3296.0,3694.0,199.0
2018-08-22,3305.0,3110.0,3547.0,218.5
2018-09-03,3066.0,2906.0,3249.0,171.5
2018-09-15,1680.0,1254.0,1917.0,331.5
2018-09-27,1477.0,1255.0,1618.0,181.5
2018-10-09,1365.0,1251.0,1433.0,91.0
2018-10-21,1300.0,1251.0,1342.0,45.5
2018-11-02,1272.0,1251.0,1302.0,25.5
2018-11-14,1265.0,1251.0,1278.0,13.5
2018-11-26,1260.0,1251.0,1265.0,7.0
2018-12-08,1260.0,1252.0,1267.0,7.5
2018-12-20,1254.0,1251.0,1258.0,3.5
2019-01-01,1251.0,1251.0,1251.0,0.0
2019-01-13,1252.0,1251.0,1255.0,2.0
2019-01-25,1251.0,1251.0,1251.0,0.0
2019-02-06,1251.0,1251.0,1252.0,0.5
2019-02-18,1251.0,1251.0,1251.0,0.0
2019-03-02,1259.0,1251.0,1263.0,6.0
2019-03-14,1254.0,1251.0,1258.0,3.5
2019-03-26,1254.0,1251.0,1258.0,3.5
2019-04-07,1254.0,1251.0,1258.0,3.5
2019-04-19,1252.0,1251.0,1255.0,2.0
2019-05-01,1262.0,1251.0,1268.0,8.5
2019-05-13,1260.0,1254.0,1268.0,7.0
2019-05-25,2524.0,2414.0,2660.0,123.0
