,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,4170000,3370000,5190000,910000.0
2017-06-16,5650000,4970000,7340000,1185000.0
2017-06-28,6230000,5640000,6850000,605000.0
2017-07-10,6830000,6220000,7590000,685000.0
2017-07-22,8090000,7150000,9610000,1230000.0
2017-08-03,9720000,8400000,11800000,1700000.0
2017-08-15,7130000,6280000,8060000,890000.0
2017-08-27,7140000,6180000,8370000,1095000.0
2017-09-08,11190000,9320000,14400000,2540000.0
2017-09-20,11630000,9540000,15960000,3210000.0
2017-10-02,13970000,12730000,18350000,2810000.0
2017-10-14,2070000,1350000,2790000,720000.0
2017-10-26,14810000,14620000,20910000,3145000.0
2017-11-07,18990000,18950000,20870000,960000.0
2017-11-19,19010000,18990000,20930000,970000.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,30000,10000,60000,25000.0
2018-05-06,0,0,340000,170000.0
2018-05-18,340000,280000,4360000,2040000.0
2018-05-30,2890000,1380000,6930000,2775000.0
2018-06-11,3630000,3270000,4370000,550000.0
2018-06-23,4880000,4360000,5720000,680000.0
2018-07-05,6160000,5480000,7360000,940000.0
2018-07-17,6510000,5810000,7800000,995000.0
2018-07-29,8300000,7480000,10360000,1440000.0
2018-08-10,8060000,7130000,9210000,1040000.0
2018-08-22,9010000,7920000,10340000,1210000.0
2018-09-03,9060000,7700000,10900000,1600000.0
2018-09-15,11690000,10260000,14180000,1960000.0
2018-09-27,11570000,10720000,16600000,2940000.0
2018-10-09,12700000,12160000,18840000,3340000.0
2018-10-21,10400000,9960000,10820000,430000.0
2018-11-02,18880000,18730000,20930000,1100000.0
2018-11-14,2420000,2420000,20940000,9260000.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,80000,40000.0
2019-04-07,0,0,0,0.0
2019-04-19,10000,10000,20000,5000.0
2019-05-01,900000,660000,1400000,370000.0
2019-05-13,1570000,1380000,3530000,1075000.0
2019-05-25,5060000,2940000,8220000,2640000.0
2019-06-06,4630000,4320000,5520000,600000.0
2019-06-18,5830000,5180000,6490000,655000.0
2019-06-30,8300000,7180000,10020000,1420000.0
2019-07-12,10070000,8740000,11910000,1585000.0
2019-07-24,9230000,8010000,10780000,1385000.0
2019-08-05,10960000,9660000,13160000,1750000.0
2019-08-17,9600000,8310000,11120000,1405000.0
2019-08-29,10470000,9240000,15370000,3065000.0
2019-09-10,11910000,9890000,15780000,2945000.0
2019-09-22,6120000,5650000,9800000,2075000.0
2019-10-04,8180000,7440000,18010000,5285000.0
2019-10-16,12640000,12500000,20700000,4100000.0
2019-10-28,4110000,680000,10950000,5135000.0
2019-11-09,50000,50000,50000,0.0
2019-11-21,40000,20000,60000,20000.0
2019-12-03,0,0,0,0.0
2019-12-15,0,0,0,0.0
2019-12-27,0,0,0,0.0
2020-01-08,0,0,0,0.0
2020-01-20,0,0,0,0.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,0,0,160000,80000.0
2020-04-25,80000,0,1210000,605000.0
2020-05-07,100000,10000,1970000,980000.0
2020-05-19,2330000,1600000,6350000,2375000.0
2020-05-31,3470000,2630000,4360000,865000.0
2020-06-12,3790000,3340000,4900000,780000.0
2020-06-24,4640000,4320000,5090000,385000.0
2020-07-06,6290000,5370000,7490000,1060000.0
2020-07-18,6460000,5760000,7270000,755000.0
2020-07-30,6920000,6330000,8150000,910000.0
2020-08-11,7660000,6910000,8460000,775000.0
2020-08-23,7100000,6570000,8410000,920000.0
2020-09-04,5110000,4790000,5960000,585000.0
2020-09-16,8450000,6770000,11430000,2330000.0
2020-09-28,8430000,6740000,11470000,2365000.0
2020-10-10,7430000,6630000,13390000,3380000.0
2020-10-22,12490000,10970000,17000000,3015000.0
2020-11-03,11410000,11050000,19900000,4425000.0
2020-11-15,160000,160000,160000,0.0
2020-11-27,20000,20000,20000,0.0
2020-12-09,0,0,0,0.0
2020-12-21,0,0,0,0.0
2021-01-02,0,0,0,0.0
2021-01-14,0,0,0,0.0
2021-01-26,0,0,0,0.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,0,0.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,0,0.0
2021-03-27,0,0,0,0.0
2021-04-08,0,0,0,0.0
2021-04-20,80000,0,1930000,965000.0
2021-05-02,20000,0,2940000,1470000.0
2021-05-14,270000,140000,3770000,1815000.0
2021-05-26,3190000,2140000,8090000,2975000.0
2021-06-07,4410000,2810000,7310000,2250000.0
2021-06-19,4890000,4330000,5560000,615000.0
2021-07-01,5880000,5190000,6650000,730000.0
2021-07-13,5940000,5460000,6550000,545000.0
2021-07-25,7100000,6540000,7820000,640000.0
2021-08-06,7780000,6850000,9310000,1230000.0
2021-08-18,6790000,6120000,7530000,705000.0
2021-08-30,7090000,6360000,8180000,910000.0
2021-09-11,7230000,6540000,8110000,785000.0
2021-09-23,10020000,8030000,13820000,2895000.0
2021-10-05,12150000,10750000,15600000,2425000.0
2021-10-17,13480000,12430000,18910000,3240000.0
2021-10-29,12220000,11790000,19090000,3650000.0
2021-11-10,60000,60000,60000,0.0
2021-11-22,12910000,12700000,20400000,3850000.0
2021-12-16,0,0,0,0.0
2021-12-28,0,0,0,0.0
2022-01-09,0,0,0,0.0
2022-01-21,0,0,0,0.0
2022-02-02,0,0,0,0.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,0,0.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,740000,460000,1020000,280000.0
2022-05-09,10000,0,1170000,585000.0
2022-05-21,200000,20000,4370000,2175000.0
2022-06-02,3420000,2380000,5540000,1580000.0
2022-06-14,4720000,4020000,5530000,755000.0
2022-06-26,5840000,5050000,7120000,1035000.0
2022-07-08,7110000,6300000,8190000,945000.0
2022-07-20,6300000,5750000,6860000,555000.0
2022-08-01,7920000,6910000,9180000,1135000.0
2022-08-13,7480000,6750000,8320000,785000.0
2022-08-25,7220000,6340000,8220000,940000.0
2022-09-06,6800000,6150000,8340000,1095000.0
2022-09-18,7280000,5740000,11020000,2640000.0
2022-09-30,5570000,3190000,10320000,3565000.0
2022-10-12,4520000,3270000,9040000,2885000.0
2022-10-24,8800000,5600000,12850000,3625000.0
2022-11-05,10880000,9850000,19110000,4630000.0
2022-11-17,12580000,11710000,19660000,3975000.0
2022-11-29,90000,90000,90000,0.0
2022-12-11,10000,10000,10000,0.0
2022-12-23,0,0,0,0.0
2023-01-04,0,0,0,0.0
2023-01-16,13300000,13210000,20750000,3770000.0
2023-01-28,0,0,0,0.0
2023-02-09,0,0,0,0.0
2023-02-21,0,0,0,0.0
2023-03-05,0,0,0,0.0
2023-03-17,0,0,0,0.0
2023-03-29,0,0,0,0.0
2023-04-10,0,0,0,0.0
2023-04-22,0,0,0,0.0
2023-05-04,460000,30000,900000,435000.0
2023-05-16,20000,0,3250000,1625000.0
2023-05-28,2200000,1400000,5630000,2115000.0
2023-06-09,3450000,2900000,4170000,635000.0
2023-06-21,4920000,4110000,5790000,840000.0
2023-07-03,5470000,4880000,6140000,630000.0
2023-07-15,6960000,6310000,7820000,755000.0
2023-07-27,7880000,7030000,9060000,1015000.0
2023-08-08,8290000,7190000,9780000,1295000.0
2023-09-01,7210000,6460000,8030000,785000.0
2023-09-13,5990000,5350000,7720000,1185000.0
2023-09-25,10410000,8390000,14690000,3150000.0
2023-10-07,7860000,4730000,13260000,4265000.0
2023-10-19,11330000,10330000,18600000,4135000.0
2023-10-31,12120000,11750000,19290000,3770000.0
2023-11-12,12540000,12350000,20490000,4070000.0
2023-11-24,540000,270000,820000,275000.0
2023-12-06,0,0,0,0.0
2023-12-18,0,0,0,0.0
2023-12-30,0,0,0,0.0
2024-01-11,0,0,0,0.0
2024-02-16,0,0,0,0.0
2024-02-28,0,0,0,0.0
2024-03-11,0,0,0,0.0
2024-03-23,0,0,0,0.0
2024-04-04,0,0,0,0.0
2024-04-16,0,0,0,0.0
2024-04-28,680000,190000,1500000,655000.0
2024-05-10,250000,100000,1590000,745000.0
2024-05-22,1290000,940000,6050000,2555000.0
2024-06-03,3540000,2610000,7250000,2320000.0
2024-06-15,4560000,4100000,5370000,635000.0
2024-06-27,6170000,5490000,7020000,765000.0
2024-07-09,6850000,6240000,7550000,655000.0
2024-07-21,7010000,6440000,7900000,730000.0
2024-08-02,7450000,6680000,8350000,835000.0
2024-08-14,7240000,6530000,8200000,835000.0
2024-08-26,6810000,6300000,7380000,540000.0
2024-09-07,6690000,6250000,8260000,1005000.0
2024-09-19,8270000,6550000,11580000,2515000.0
2024-10-01,11090000,9780000,15820000,3020000.0
2024-10-25,12140000,11670000,20170000,4250000.0
2024-11-06,2260000,2210000,20570000,9180000.0
2024-11-18,2270000,2230000,20960000,9365000.0
2024-11-30,11710000,11680000,21010000,4665000.0
2024-12-12,2370000,2320000,20990000,9335000.0
2024-12-24,20000,20000,20000,0.0
